,CBSA,Title,MetroMicro,Pop2018,COVIDEnd,AttackRate,r,dataset,remove_deaths,filtering
4399,39660,"Rapid City, SD",Metropolitan Statistical Area,140023,6,0.11201325827720969,0.8406883671933125,1point3acres,False,None
4400,39700,"Raymondville, TX",Micropolitan Statistical Area,21515,2,,,1point3acres,False,None
4401,39740,"Reading, PA",Metropolitan Statistical Area,420152,82,,,1point3acres,False,None
4402,39780,"Red Bluff, CA",Micropolitan Statistical Area,63916,0,,,1point3acres,False,None
4403,39820,"Redding, CA",Metropolitan Statistical Area,180040,6,0.11671247905411807,0.9171934751240336,1point3acres,False,None
4404,39860,"Red Wing, MN",Micropolitan Statistical Area,46403,3,,,1point3acres,False,None
4405,39900,"Reno, NV",Metropolitan Statistical Area,469764,121,0.2046794907722562,0.9847992202432725,1point3acres,False,None
4406,39940,"Rexburg, ID",Micropolitan Statistical Area,52472,3,,,1point3acres,False,None
4407,39980,"Richmond, IN",Micropolitan Statistical Area,65936,1,,,1point3acres,False,None
4408,40060,"Richmond, VA",Metropolitan Statistical Area,1282442,93,0.22870597439598161,0.9743403429647922,1point3acres,False,None
4409,40080,"Richmond-Berea, KY",Micropolitan Statistical Area,106566,8,,,1point3acres,False,None
4410,40100,"Rio Grande City-Roma, TX",Micropolitan Statistical Area,64525,2,,,1point3acres,False,None
4411,40140,"Riverside-San Bernardino-Ontario, CA",Metropolitan Statistical Area,4622361,402,0.2332361922249001,0.9877802653786137,1point3acres,False,None
4412,40180,"Riverton, WY",Micropolitan Statistical Area,39531,24,0.18049577415448892,0.8692736641569618,1point3acres,False,None
4413,40220,"Roanoke, VA",Metropolitan Statistical Area,314172,14,,,1point3acres,False,None
4414,40260,"Roanoke Rapids, NC",Micropolitan Statistical Area,70250,30,,,1point3acres,False,None
4415,40300,"Rochelle, IL",Micropolitan Statistical Area,50923,0,,,1point3acres,False,None
4416,40340,"Rochester, MN",Metropolitan Statistical Area,219802,65,0.2390397055838943,0.9789054063853972,1point3acres,False,None
4417,40380,"Rochester, NY",Metropolitan Statistical Area,1071082,312,0.2971708521387109,0.953754466398574,1point3acres,False,None
4418,40420,"Rockford, IL",Metropolitan Statistical Area,337658,13,,,1point3acres,False,None
4419,40460,"Rockingham, NC",Micropolitan Statistical Area,44887,0,,,1point3acres,False,None
4420,40530,"Rockport, TX",Micropolitan Statistical Area,23792,2,,,1point3acres,False,None
4421,40540,"Rock Springs, WY",Micropolitan Statistical Area,43051,2,,,1point3acres,False,None
4422,40580,"Rocky Mount, NC",Metropolitan Statistical Area,146021,5,,,1point3acres,False,None
4423,40620,"Rolla, MO",Micropolitan Statistical Area,44732,0,,,1point3acres,False,None
4424,40660,"Rome, GA",Metropolitan Statistical Area,97927,31,0.14074924495226893,0.9877406481363485,1point3acres,False,None
4425,40700,"Roseburg, OR",Micropolitan Statistical Area,110283,8,0.12078214915263108,0.8459279175834169,1point3acres,False,None
4426,40740,"Roswell, NM",Micropolitan Statistical Area,64689,10,,,1point3acres,False,None
4427,40760,"Ruidoso, NM",Micropolitan Statistical Area,19556,0,,,1point3acres,False,None
4428,40780,"Russellville, AR",Micropolitan Statistical Area,85535,1,,,1point3acres,False,None
4429,40820,"Ruston, LA",Micropolitan Statistical Area,47196,8,,,1point3acres,False,None
4430,40860,"Rutland, VT",Micropolitan Statistical Area,58672,6,,,1point3acres,False,None
4431,40900,"Sacramento-Roseville-Folsom, CA",Metropolitan Statistical Area,2345210,320,0.15136900294691555,0.9911593002517617,1point3acres,False,None
4432,40940,"Safford, AZ",Micropolitan Statistical Area,38072,2,0.06965449608568076,0.8206567882510717,1point3acres,False,None
4433,40980,"Saginaw, MI",Metropolitan Statistical Area,190800,36,,,1point3acres,False,None
4434,41060,"St. Cloud, MN",Metropolitan Statistical Area,199801,6,0.06625353586782567,0.7511381079298738,1point3acres,False,None
4435,41100,"St. George, UT",Metropolitan Statistical Area,171700,0,,,1point3acres,False,None
4436,41140,"St. Joseph, MO-KS",Metropolitan Statistical Area,126490,4,,,1point3acres,False,None
4437,41180,"St. Louis, MO-IL",Metropolitan Statistical Area,2805465,877,0.3666025570770497,0.9916104473241061,1point3acres,False,None
4438,41220,"St. Marys, GA",Micropolitan Statistical Area,53677,4,,,1point3acres,False,None
4439,41260,"St. Marys, PA",Micropolitan Statistical Area,30169,0,,,1point3acres,False,None
4440,41400,"Salem, OH",Micropolitan Statistical Area,102665,11,,,1point3acres,False,None
4441,41420,"Salem, OR",Metropolitan Statistical Area,432102,138,0.25654098197261554,0.9889739242521118,1point3acres,False,None
4442,41460,"Salina, KS",Micropolitan Statistical Area,60203,2,,,1point3acres,False,None
4443,41500,"Salinas, CA",Metropolitan Statistical Area,435594,40,,,1point3acres,False,None
4444,41540,"Salisbury, MD-DE",Metropolitan Statistical Area,409979,91,,,1point3acres,False,None
4445,41620,"Salt Lake City, UT",Metropolitan Statistical Area,1222540,369,0.2786507803270897,0.9332871322748673,1point3acres,False,None
4446,41660,"San Angelo, TX",Metropolitan Statistical Area,121022,6,,,1point3acres,False,None
4447,41700,"San Antonio-New Braunfels, TX",Metropolitan Statistical Area,2518036,206,0.31613502961918827,0.9512930457575121,1point3acres,False,None
4448,41740,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan Statistical Area,3343364,603,0.23491759268547405,0.9525531773391062,1point3acres,False,None
4449,41760,"Sandpoint, ID",Micropolitan Statistical Area,44727,1,,,1point3acres,False,None
4450,41780,"Sandusky, OH",Micropolitan Statistical Area,74615,5,,,1point3acres,False,None
4451,41820,"Sanford, NC",Micropolitan Statistical Area,61452,2,,,1point3acres,False,None
